trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,12.691085300175473,None,space,64.49520850018598,12.691085300175473,None,,,,,,,,,,,,,,,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
47,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,0,0,46,,,,,,,77.25362800015137,77.75300370017067,78.21933290013112,78.25313229998574,78.20285310014151,78.21933290013112,78.15356490015984,78.18631880008616,78.18631880008616,78.20285310014151,None,1,78.21933290013112,None,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
48,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,1,1,47,,,,,,,79.73040540004149,80.23641490004957,80.68671589996666,80.72025420004502,80.67018699995242,80.68671589996666,80.63673340016976,80.65354080009274,80.65354080009274,80.67018699995242,None,1,80.68671589996666,79.73040540004149,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
52,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,short,24,0,2,2,51,,,,,,,82.19720000005327,82.70307669998147,83.15357610001229,83.18666040012613,83.13666630000807,83.15357610001229,83.10353780002333,83.1201524999924,83.1201524999924,83.13666630000807,None,1,83.15357610001229,82.19720000005327,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
43,"(0.5, 0)",rightpurple.png,0.15,right,Oppcol,rightblue.png,0.15,short,24,0,3,3,42,,,,,,,84.66589860012755,85.16968349996023,85.62021189997904,85.6535233000759,85.60358670004643,85.62021189997904,85.57017830014229,85.58663560007699,85.58663560007699,85.60358670004643,right,1,85.62021189997904,84.66589860012755,0.47841769992373884,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
2,"(0.5, 0)",rightpurple.png,0.15,right,None,None,None,short,24,0,4,4,1,,,,,,,86.1296747000888,86.63625059998594,87.08671239996329,87.12022370006889,87.07015230017714,87.08671239996329,87.03683919995092,87.05354270013049,87.05354270013049,87.07015230017714,right,1,87.08671239996329,None,0.5158132000360638,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
33,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,5,5,32,,,,,,,87.62877260008827,88.11977130011655,88.57023210008629,88.60355340014212,88.55351090012118,88.57023210008629,88.5202793001663,88.5366865999531,88.5366865999531,88.55351090012118,None,0,88.57023210008629,None,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
73,"(0.5, 0)",leftblue.png,0.15,left,Oppcol,leftpurple.png,0.15,short,24,0,6,6,72,,,,,,,90.07847480010241,90.5698119001463,91.02023000014015,91.05349320010282,91.00349020003341,91.02023000014015,90.97017049998976,90.9866089001298,90.9866089001298,91.00349020003341,None,0,91.02023000014015,90.07847480010241,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
26,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,short,24,0,7,7,25,,,,,,,92.53000460006297,93.03647120017558,93.48665900016204,93.52014190005139,93.47022860008292,93.48665900016204,93.436699999962,93.45351200015284,93.45351200015284,93.47022860008292,None,0,93.48665900016204,92.53000460006297,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
71,"(0.5, 0)",leftblue.png,0.15,left,Oppcol,leftpurple.png,0.15,short,24,0,8,8,70,,,,,,,94.99572530016303,95.50312010012567,95.95351100014523,95.98666319996119,95.9366206000559,95.95351100014523,95.9035281999968,95.92018899996765,95.92018899996765,95.9366206000559,None,0,95.95351100014523,94.99572530016303,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
49,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,9,9,48,,,,,,,97.46074260002933,97.9535008999519,98.80359999998473,98.83665139996447,98.78667569998652,98.80359999998473,98.75350089999847,98.77016049996018,98.77016049996018,98.78667569998652,None,1,98.80359999998473,97.46074260002933,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
8,"(-0.5, 0)",rightpurple.png,0.15,None,None,None,None,short,24,0,10,10,7,,,,,,,100.31178480014205,100.8034200000111,101.25355490017682,101.28678330010734,101.23677480011247,101.25355490017682,101.20347920013592,101.22033319994807,101.22033319994807,101.23677480011247,None,1,101.25355490017682,100.31178480014205,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
62,"(0.5, 0)",rightblue.png,0.15,None,Oppcol,rightpurple.png,0.15,short,24,0,11,11,61,,,,,,,102.76268980000168,103.26980979996733,103.72012910014018,103.75342379999347,103.70342130004428,103.72012910014018,103.67009670007974,103.68656069994904,103.68656069994904,103.70342130004428,right,0,103.72012910014018,102.76268980000168,0.36252099997363985,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
40,"(-0.5, 0)",leftblue.png,0.15,None,None,None,None,long,48,0,12,12,39,,,,,,,104.11213760008104,104.60309400013648,105.45354210003279,105.48664180003107,105.43666300014593,105.45354210003279,105.40352599998005,105.42016580002382,105.42016580002382,105.43666300014593,None,1,105.45354210003279,None,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
54,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,long,48,0,13,13,53,,,,,,,106.96188920014538,107.45329100009985,108.3034529001452,108.33648189995438,108.2865178999491,108.3034529001452,108.25333110010251,108.27010180009529,108.27010180009529,108.2865178999491,None,1,108.3034529001452,106.96188920014538,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
66,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,short,24,0,14,14,65,,,,,,,109.81263910001144,110.31978100002743,110.77021710015833,110.80355489999056,110.75353540014476,110.77021710015833,110.72021050006151,110.73676170012914,110.73676170012914,110.75353540014476,None,0,110.77021710015833,109.81263910001144,,2,001,2021_Dec_01_1410,Final,2021.2.3,60.10023516582491,
