trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,13.649118799949065,None,space,214.06160119990818,13.649118799949065,None,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
76,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,short,24,0,0,0,75,,,,,,,227.78588979993947,228.29065530002117,228.7572129999753,228.79076969996095,228.7403405001387,228.7572129999753,228.69103410001844,228.72467490006238,228.72467490006238,228.7403405001387,None,1,228.7572129999753,None,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
71,"(0.5, 0)",leftblue.png,0.15,left,Oppcol,leftpurple.png,0.15,short,24,0,1,1,70,,,,,,,230.2688234001398,230.77449510013685,231.22439879993908,231.25769360014237,231.20774909993634,231.22439879993908,231.1744302001316,231.1910663000308,231.1910663000308,231.20774909993634,None,0,231.22439879993908,230.2688234001398,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
69,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,long,48,0,2,2,68,,,,,,,232.7350800000131,233.24056029994972,234.09106240002438,234.12439290015027,234.07448299997486,234.09106240002438,234.0411028000526,234.05775650008582,234.05775650008582,234.07448299997486,None,0,234.09106240002438,232.7350800000131,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
32,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,3,3,31,,,,,,,235.5994613999501,236.09091709996574,236.54115259996615,236.57423130003735,236.52439650008455,236.54115259996615,236.49106219992973,236.50781490001827,236.50781490001827,236.52439650008455,left,1,236.54115259996615,235.5994613999501,1.2017401000484824,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
49,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,4,4,48,,,,,,,237.78446490014903,238.29060720000416,239.14097600011155,239.1743870000355,239.12439920008183,239.14097600011155,239.09099099994637,239.10790490009822,239.10790490009822,239.12439920008183,None,1,239.14097600011155,None,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
50,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,5,5,49,,,,,,,240.6525402001571,241.157141600037,242.00780829996802,242.04114380013198,241.99100839998573,242.00780829996802,241.95766630000435,241.97436699992977,241.97436699992977,241.99100839998573,None,1,242.00780829996802,240.6525402001571,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
26,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,short,24,0,6,6,25,,,,,,,243.5168382001575,244.02391560003161,244.47439029999077,244.50782230007462,244.45772169996053,244.47439029999077,244.42452939995565,244.44111250014976,244.44111250014976,244.45772169996053,None,0,244.47439029999077,243.5168382001575,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
46,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,7,7,45,,,,,,,245.98410520004109,246.49072759994306,246.9400059999898,246.97432280005887,246.92348440014757,246.9400059999898,246.89016950014047,246.9069461999461,246.9069461999461,246.92348440014757,None,1,246.9400059999898,245.98410520004109,,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
56,"(-0.5, 0)",leftpurple.png,0.15,left,Oppcol,leftblue.png,0.15,short,24,0,8,8,55,,,,,,,248.45027430006303,248.9576177999843,249.40771970013157,249.441018700134,249.3910579001531,249.40771970013157,249.3577352000866,249.37434660014696,249.37434660014696,249.3910579001531,left,1,249.40771970013157,248.45027430006303,0.7991708999034017,6,001,2021_Dec_01_1446,Final,2021.2.3,60.013238923503756,
