trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,11.76221950002946,None,space,121.29750919993967,11.76221950002946,None,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
22,"(0.5, 0)",rightblue.png,0.15,None,None,None,None,short,24,0,0,0,21,,,,,,,133.1311976001598,133.63648109999485,134.10865930002183,134.13630920019932,134.07025440013967,134.10865930002183,134.0369283000473,134.05365900020115,134.05365900020115,134.07025440013967,None,1,134.10865930002183,None,,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
52,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,short,24,0,1,1,51,,,,,,,135.6139762001112,136.11973710008897,136.57030640006997,136.60364430001937,136.5535476000514,136.57030640006997,136.5202719999943,136.53698120010085,136.53698120010085,136.5535476000514,right,0,136.57030640006997,135.6139762001112,0.29809579998254776,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
71,"(0.5, 0)",leftblue.png,0.15,left,Oppcol,leftpurple.png,0.15,short,24,0,2,2,70,,,,,,,136.8983974000439,137.40331620001234,137.85362710012123,137.886723899981,137.83698710007593,137.85362710012123,137.80353190004826,137.82030969997868,137.82030969997868,137.83698710007593,left,1,137.85362710012123,None,0.4862351000774652,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
11,"(0.5, 0)",leftpurple.png,0.15,None,None,None,None,short,24,0,3,3,10,,,,,,,138.38002820010297,138.88626310019754,139.33698120014742,139.37030629999936,139.3202393001411,139.33698120014742,139.28696900000796,139.30360930017196,139.30360930017196,139.3202393001411,right,0,139.33698120014742,None,0.3627410000190139,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
31,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,4,4,30,,,,,,,139.731465900084,140.23648050008342,140.6869746001903,140.7202343000099,140.6701448999811,140.6869746001903,140.6369245001115,140.65359540004283,140.65359540004283,140.6701448999811,left,1,140.6869746001903,None,0.34090379998087883,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
55,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,long,48,0,5,5,54,,,,,,,141.06419350020587,141.56980559998192,142.42025550012477,142.45364060020074,142.40353680006228,142.42025550012477,142.37029610015452,142.38688890007325,142.38688890007325,142.40353680006228,left,0,142.42025550012477,None,0.463565899990499,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
27,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,short,24,0,6,6,26,,,,,,,142.9133433001116,143.41994579997845,143.87019770010374,143.90362019999884,143.8536036000587,143.87019770010374,143.82032010005787,143.83700050017796,143.83700050017796,143.8536036000587,right,1,143.87019770010374,None,0.6937651000916958,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
20,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,long,48,0,7,7,19,,,,,,,144.59665070008487,145.10300270002335,145.9536510000471,145.98680380010046,145.93698350014165,145.9536510000471,145.90365380002186,145.92019890015945,145.92019890015945,145.93698350014165,left,1,145.9536510000471,None,0.6582361001055688,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
69,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,long,48,0,8,8,68,,,,,,,146.6468440000899,147.15301350015216,148.00365530001,148.03699310007505,147.98689190018922,148.00365530001,147.95357560017146,147.97024739999324,147.97024739999324,147.98689190018922,left,0,148.00365530001,None,0.3362058000639081,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
1,"(0.5, 0)",rightpurple.png,0.15,right,None,None,None,short,24,0,9,9,0,,,,,,,148.38001259998418,148.8867071000859,149.33690530015156,149.370263800025,149.32034890004434,149.33690530015156,149.28692470001988,149.3036190001294,149.3036190001294,149.32034890004434,None,0,149.33690530015156,None,,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
13,"(0.5, 0)",leftpurple.png,0.15,None,None,None,None,short,24,0,10,10,12,,,,,,,150.84459250001237,151.33639950002544,151.78698620013893,151.8202996000182,151.77030250011012,151.78698620013893,151.73688890016638,151.75364320003428,151.75364320003428,151.77030250011012,left,0,151.78698620013893,150.84459250001237,0.5047604001592845,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
29,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,long,48,0,11,11,28,,,,,,,152.32863260013983,152.8197997000534,153.67030470003374,153.7036844000686,153.65361910010688,153.67030470003374,153.62033940013498,153.63695180020295,153.63695180020295,153.65361910010688,right,1,153.67030470003374,None,0.573441999964416,5,001,2021_Dec_01_1432,Final,2021.2.3,59.97839577095102,
