trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,18.150269099976867,None,space,67.48259479994886,18.150269099976867,None,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
14,"(0.5, 0)",leftpurple.png,0.15,None,None,None,None,long,48,0,0,0,13,,,,,,,85.6994863001164,86.20156610012054,87.06183660007082,87.10108779999427,87.03532380005345,87.06183660007082,87.00196080002934,87.01842890004627,87.01842890004627,87.03532380005345,None,1,87.06183660007082,None,,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
55,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,long,48,0,1,1,54,,,,,,,88.58075760002248,89.08509570010938,89.93525979993865,89.96841529989615,89.91842140001245,89.93525979993865,89.88524560001679,89.90204409998842,89.90204409998842,89.91842140001245,None,1,89.93525979993865,88.58075760002248,,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
18,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,short,24,0,2,2,17,,,,,,,91.44471800001338,91.95142009994015,92.40200620004907,92.43534990004264,92.38527960004285,92.40200620004907,92.3519902001135,92.36851639999077,92.36851639999077,92.38527960004285,left,1,92.40200620004907,91.44471800001338,0.6389803998172283,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
27,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,short,24,0,3,3,26,,,,,,,93.08693140000105,93.5853550999891,94.03536790004,94.06845059990883,94.01856120000593,94.03536790004,93.98536940012127,94.00203140010126,94.00203140010126,94.01856120000593,None,0,94.03536790004,None,,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
69,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,long,48,0,4,4,68,,,,,,,95.54521339992061,96.05201680003665,96.90095319994725,96.93448910000734,96.88453530007973,96.90095319994725,96.85116819990799,96.86776409996673,96.86776409996673,96.88453530007973,None,0,96.90095319994725,95.54521339992061,,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
2,"(0.5, 0)",rightpurple.png,0.15,right,None,None,None,short,24,0,5,5,1,,,,,,,98.41412919992581,98.91799159999937,99.36841160012409,99.40203340002336,99.35208450001664,99.36841160012409,99.31840980006382,99.33534749993123,99.33534749993123,99.35208450001664,right,1,99.36841160012409,98.41412919992581,0.6001063999719918,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
1,"(0.5, 0)",rightpurple.png,0.15,right,None,None,None,short,24,0,6,6,0,,,,,,,99.98695000004955,100.48502689995803,100.93524180003442,100.96844849991612,100.91844230005518,100.93524180003442,100.885253299959,100.90174939995632,100.90174939995632,100.91844230005518,right,1,100.93524180003442,None,0.5534479999914765,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
22,"(0.5, 0)",rightblue.png,0.15,None,None,None,None,short,24,0,7,7,21,,,,,,,101.52031409996562,102.01845109998249,102.46841969992965,102.50182630005293,102.45191169995815,102.46841969992965,102.4184884999413,102.43536400003359,102.43536400003359,102.45191169995815,right,0,102.46841969992965,None,0.4922927999868989,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
79,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,long,48,0,8,8,78,,,,,,,102.99644310004078,103.50179219990969,104.35191299999133,104.38531969999894,104.33535790001042,104.35191299999133,104.30203850008547,104.31841029995121,104.31841029995121,104.33535790001042,left,0,104.35191299999133,None,0.4007168000098318,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
49,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,9,9,48,,,,,,,104.78246299992315,105.28518139990047,106.13526050001383,106.16840779990889,106.1184831999708,106.13526050001383,106.08522029989399,106.10210320004262,106.10210320004262,106.1184831999708,right,0,106.13526050001383,None,0.5370569999795407,1,001,2021_Dec_01_1404,Final,2021.2.3,59.95149918889401,
