trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,13.714480200083926,None,space,103.67381380009465,13.714480200083926,None,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
46,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,0,0,45,,,,,,,117.46664300002158,117.96116780000739,118.42706079990603,118.46093599987216,118.40884929988533,118.42706079990603,118.36120769986883,118.38782990002073,118.38782990002073,118.40884929988533,right,0,0.5613607000559568,118.42706079990603,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
28,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,short,24,0,1,1,27,,,,,,,119.01745030004531,119.51098520006053,119.96113010006957,119.99445619992912,119.94442049995996,119.96113010006957,119.91120149986818,119.92782699991949,119.92782699991949,119.94442049995996,None,0,,119.96113010006957,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
57,"(-0.5, 0)",leftpurple.png,0.15,left,Oppcol,leftblue.png,0.15,short,24,0,2,2,56,,,,,,,121.4629979999736,121.96107809990644,122.4111786999274,122.44447829993442,122.39445549994707,122.4111786999274,122.36103220004588,122.37782519985922,122.37782519985922,122.39445549994707,left,1,0.48167199990712106,122.4111786999274,121.4629979999736,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
66,"(-0.5, 0)",rightblue.png,0.15,right,Oppcol,rightpurple.png,0.15,short,24,0,3,3,65,,,,,,,122.92589959991165,123.42763269995339,123.87776959990151,123.9110953998752,123.86115580005571,123.87776959990151,123.82771199988201,123.84451780002564,123.84451780002564,123.86115580005571,None,0,,123.87776959990151,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
58,"(-0.5, 0)",leftpurple.png,0.15,left,Oppcol,leftblue.png,0.15,short,24,0,4,4,57,,,,,,,125.38742649997585,125.8944460998755,126.34432650008239,126.37775189988315,126.32782029989175,126.34432650008239,126.2944145000074,126.31107859988697,126.31107859988697,126.32782029989175,left,1,0.4678521999157965,126.34432650008239,125.38742649997585,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
51,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,short,24,0,5,5,50,,,,,,,126.83135339990258,127.327031099936,127.77782379998825,127.81109339999966,127.76116449991241,127.77782379998825,127.72783300001174,127.74450680008158,127.74450680008158,127.76116449991241,left,0,0.602358799893409,127.77782379998825,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
12,"(0.5, 0)",leftpurple.png,0.15,None,None,None,None,short,24,0,6,6,11,,,,,,,128.4129291998688,128.91116630006582,129.3609456999693,129.3936534000095,129.34446609998122,129.3609456999693,129.31104449997656,129.32784159993753,129.32784159993753,129.34446609998122,None,1,,129.3609456999693,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
18,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,short,24,0,7,7,17,,,,,,,130.8755057998933,131.37782160006464,131.82774859992787,131.86117410007864,131.81107320007868,131.82774859992787,131.77769279992208,131.7945069000125,131.7945069000125,131.81107320007868,left,1,0.648637400008738,131.82774859992787,130.8755057998933,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
43,"(0.5, 0)",rightpurple.png,0.15,right,Oppcol,rightblue.png,0.15,short,24,0,8,8,42,,,,,,,132.50478389998898,133.01087230001576,133.461139800027,133.49447220005095,133.4445344998967,133.461139800027,133.41117149987258,133.42766500008292,133.42766500008292,133.4445344998967,right,1,0.6633907000068575,133.461139800027,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
42,"(0.5, 0)",rightpurple.png,0.15,right,Oppcol,rightblue.png,0.15,short,24,0,9,9,41,,,,,,,134.1453831999097,134.64445729996078,135.09438119991682,135.12787319999188,135.07772459997796,135.09438119991682,135.0444934000261,135.06117110000923,135.06117110000923,135.07772459997796,right,1,0.6139236998278648,135.09438119991682,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
5,"(0.5, 0)",rightpurple.png,0.15,right,None,None,None,long,48,0,10,10,4,,,,,,,135.7305139999371,136.22770709986798,137.07774290000089,137.11113710002974,137.06113349995576,137.07774290000089,137.02764280000702,137.04453439987265,137.04453439987265,137.06113349995576,right,1,0.838790399953723,137.07774290000089,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
16,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,short,24,0,11,11,15,,,,,,,137.9556700999383,138.4611458000727,138.9110842999071,138.9443753999658,138.89443750004284,138.9110842999071,138.86113019986078,138.87780290003866,138.87780290003866,138.89443750004284,left,1,1.1170974001288414,138.9110842999071,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
50,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,12,12,49,,,,,,,140.04708879999816,140.54447599989362,141.39437939994968,141.42774789989926,141.37780979997478,141.39437939994968,141.34448249987327,141.36117899999954,141.36117899999954,141.37780979997478,None,1,,141.39437939994968,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
