trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,13.010275200009346,None,space,68.72865790012293,13.010275200009346,None,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
17,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,short,24,0,0,0,16,,,,,,,81.81210159999318,82.30859179981053,82.76846099994145,82.80781379994005,82.74192459997721,82.76846099994145,82.70866419980302,82.72540919994935,82.72540919994935,82.74192459997721,left,1,0.4584759999997914,82.76846099994145,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
49,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,long,48,0,1,1,48,,,,,,,83.25531609985046,83.75872379983775,84.60873829992488,84.64193889987655,84.59197529987432,84.60873829992488,84.55876079993322,84.57533869985491,84.57533869985491,84.59197529987432,right,0,0.410365300020203,84.60873829992488,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
48,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,2,2,47,,,,,,,85.05560429999605,85.55874589993618,86.00874179997481,86.04196209996007,85.99190429993905,86.00874179997481,85.9586831999477,85.97541780001484,85.97541780001484,85.99190429993905,right,0,0.8342645999509841,86.00874179997481,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
30,"(-0.5, 0)",rightblue.png,0.15,right,None,None,None,long,48,0,3,3,29,,,,,,,86.86135679995641,87.35859509999864,88.2086494998075,88.2418927999679,88.19197179982439,88.2086494998075,88.15871599991806,88.17538759997115,88.17538759997115,88.19197179982439,right,1,1.1944282001350075,88.2086494998075,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
47,"(-0.5, 0)",rightpurple.png,0.15,None,Oppcol,rightblue.png,0.15,short,24,0,4,4,46,,,,,,,89.42800219985656,89.92534639989026,90.37530249985866,90.40850169979967,90.35873859981075,90.37530249985866,90.32531589991413,90.34196599991992,90.34196599991992,90.35873859981075,None,1,,90.37530249985866,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
31,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,5,5,30,,,,,,,91.87726809992455,92.37537519983016,92.82534300000407,92.85874279984273,92.80877829995006,92.82534300000407,92.77536550001241,92.79189959983341,92.79189959983341,92.80877829995006,left,1,0.721758000086993,92.82534300000407,91.87726809992455,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
41,"(0.5, 0)",rightpurple.png,0.15,right,Oppcol,rightblue.png,0.15,short,24,0,6,6,40,,,,,,,93.58842129982077,94.09196629980579,94.54192099999636,94.57533119991422,94.52541779982857,94.54192099999636,94.49195579998195,94.50870030000806,94.50870030000806,94.52541779982857,right,1,0.5568943000398576,94.54192099999636,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
54,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,long,48,0,7,7,53,,,,,,,95.13099969993345,95.62529709981754,96.47541329986416,96.50867869984359,96.45876359986141,96.47541329986416,96.42539729992859,96.44196780002676,96.44196780002676,96.45876359986141,left,0,0.7034215999301523,96.47541329986416,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
78,"(-0.5, 0)",leftblue.png,0.15,None,Oppcol,leftpurple.png,0.15,short,24,0,8,8,77,,,,,,,97.22265459992923,97.72533359983936,98.17541439994238,98.20874389982782,98.15872199996375,98.17541439994238,98.12541029998101,98.14195919991471,98.14195919991471,98.15872199996375,None,1,,98.17541439994238,None,3,001,2021_Dec_01_1415,Final,2021.2.3,59.900648766621956,
